"Manufacturer / Distributor","Disc Model","Max Weight (gr)","Diameter (cm)","Height (cm)","Rim Depth (cm)","Inside Rim Diameter (cm)","Rim Thickness (cm)","Rim Depth / Diameter Ratio (%)","Rim Configuration","Flexibility (kg)","Class","Max Weight Vint (gr)","Last Year Production","Certification Number","Approved Date"
"Albatrossdisc","Caravel","176.0","21.2","2.0","1.3","17.9","1.6","6.1","29.50","8.50","","","","18-12","Feb 8, 2018"
"Albatrossdisc","Frigate","176.0","21.2","1.5","1.2","18.9","2.2","5.7","29.50","9.07","","","","18-13","Feb 8, 2018"
"Albatrossdisc","Galley","175.1","21.1","1.8","1.4","19.0","1.0","6.6","60.25","10.21","","","","18-14","Feb 8, 2018"
"Infinite Discs","Pharaoh","175.1","21.1","1.4","1.1","16.4","2.3","5.2","28.50","11.11","","","","18-23","Feb 2, 2018"
"Latitude 64","Fuji","180.1","21.7","1.8","1.2","18.9","1.3","5.5","42.75","8.96","","","","18-06","Jan 29, 2018"
"Gateway Disc Sports","Prophecy","181.8","21.9","1.7","1.2","19.0","1.5","5.5","38.50","6.12","","","","18-01","Jan 19, 2018"
"Infinite Discs","Exodus","175.1","21.1","1.8","1.1","17.5","1.8","5.2","36.25","8.73","","","","18-03","Jan 19, 2018"
"Yikun Discs","Twin Swords (双刃剑)","176.0","21.2","1.9","1.2","16.4","2.4","5.7","26.50","8.05","","","","18-02","Jan 19, 2018"
"Latitude 64","Explorer","176.0","21.2","1.7","1.1","17.7","1.8","5.2","32.75","10.21","","","","17-128","Dec 11, 2017"
"Latitude 64","Ballista Pro","176.0","21.2","1.7","1.1","16.3","2.4","5.2","26.75","11.79","","","","17-127","Dec 11, 2017"
"Kastaplast AB","Stål","175.1","21.1","1.8","1.1","17.3","1.9","5.2","30.50","11.00","","","","17-126","Dec 11, 2017"
"Dynamic Discs","Getaway","175.1","21.1","1.8","1.1","17.1","2.0","5.2","28.75","11.00","","","","17-122","Dec 4, 2017"
"Dynamic Discs","Captain","175.1","21.1","1.6","1.1","16.6","2.3","5.2","30.00","11.23","","","","17-121","Dec 4, 2017"
"Dynamic Discs","Maverick","176.0","21.2","1.8","1.1","17.8","1.7","5.2","35.00","9.53","","","","17-123","Dec 4, 2017"
"Dynamic Discs","Patrol","180.1","21.7","1.6","1.2","18.8","1.4","5.5","44.00","8.85","","","","17-124","Dec 4, 2017"
"Sportme","uControl","179.3","21.6","1.5","1.2","19.0","1.3","5.6","47.75","9.98","","","","17-116","Nov 7, 2017"
"Sportme","uDrive","175.1","21.1","1.5","1.1","17.3","1.9","5.2","32.50","11.23","","","","17-117","Nov 7, 2017"
"Sportme","uPutt","175.1","21.1","2.2","1.6","19.0","1.0","7.6","63.00","11.00","","","","17-118","Nov 7, 2017"
"Discraft","Sting (Ace Race 2017)","177.6","21.4","1.8","1.2","18.2","1.6","5.6","36.25","10.66","","","","17-119","Nov 7, 2017"
"Ozone Discs","Hyperion","174.3","21.0","1.6","1.1","16.7","2.2","5.2","26.00","9.19","","","","17-120","Nov 7, 2017"
"Latitude 64","Zion","176.0","21.2","1.7","1.1","17.2","2.0","5.2","28.00","9.75","","","","17-109","Oct 8, 2017"
"Wham-O / DTW","Mid-Range","180.1","21.7","2.2","1.2","19.2","1.3","5.5","41.75","8.50","","","","17-111","Oct 8, 2017"
"Viking Discs (IP-Agency Finland Oy)","Valhalla","176.8","21.3","2.0","1.2","16.8","2.2","5.6","28.00","8.96","","","","17-115","Oct 8, 2017"
"Viking Discs (IP-Agency Finland Oy)","Barbarian","176.8","21.3","1.8","1.2","17.6","1.9","5.6","35.75","11.68","","","","17-113","Oct 8, 2017"
"Wham-O / DTW","Fairway Driver (new)","175.1","21.1","2.1","1.1","17.5","1.8","5.2","32.00","10.66","","","","17-110","Oct 8, 2017"
"Viking Discs (IP-Agency Finland Oy)","Loki","177.6","21.4","1.9","1.3","18.5","1.5","6.1","44.50","8.62","","","","17-114","Oct 8, 2017"
"Wham-O / DTW","Putter","176.0","21.2","2.2","1.5","19.3","1.0","7.1","53.50","7.60","","","","17-112","Oct 8, 2017"
"Innova-Champion Discs","AviarX3","176.8","21.3","1.8","1.6","19.3","1.0","7.5","55.75","7.14","","","","17-108","Sep 26, 2017"
"Discraft","Challenger OS","175.1","21.1","2.0","1.5","18.9","1.0","7.1","61.00","8.05","","","","17-107","Sep 26, 2017"
"Yikun Discs","Kui (夔牛)","176.0","21.2","2.1","1.3","17.9","1.6","6.1","35.75","9.64","","","","17-103","Sep 24, 2017"
"Yikun Discs","Lu (Luan, 鸾鸟)","176.0","21.2","1.4","1.1","16.4","2.4","5.2","31.25","7.94","","","","17-104","Sep 24, 2017"
"Full Turn Discs","Voyage","175.1","21.1","1.8","1.1","16.4","2.3","5.2","26.25","8.85","","","","17-105","Sep 24, 2017"
"Disc Golf Association (DGA)","Tremor","179.3","21.6","1.7","1.1","18.8","1.4","5.1","39.25","7.48","","","","17-100","Aug 29, 2017"
"Innova-Champion Discs","Roc 3","180.9","21.8","2.0","1.3","19.0","1.4","6.0","43.00","7.94","","","","17-96","Aug 29, 2017"
"Innova-Champion Discs","Leopard 3","176.0","21.2","1.7","1.1","17.8","1.7","5.2","29.25","9.30","","","","17-94","Aug 29, 2017"
"Innova-Champion Discs","Teebird 3","176.0","21.2","1.7","1.1","17.5","1.8","5.2","29.25","9.41","","","","17-98","Aug 29, 2017"
"Innova-Champion Discs","Shark 3","180.9","21.8","2.0","1.3","19.0","1.4","6.0","39.50","8.28","","","","17-97","Aug 29, 2017"
"Innova-Champion Discs","Mako 3","180.1","21.7","1.9","1.4","19.0","1.4","6.5","52.75","8.96","","","","17-95","Aug 29, 2017"
"Innova-Champion Discs","TL 3","176.0","21.2","1.7","1.1","17.6","1.8","5.2","33.00","7.48","","","","17-99","Aug 29, 2017"
"Reptilian Disc Golf","Gila","174.3","21.0","1.6","1.2","19.2","1.4","5.7","36.50","11.23","","","","17-91","Aug 19, 2017"
"MVP Disc Sports","Vertex","178.5","21.5","1.9","1.3","19.0","1.2","6.0","46.75","7.48","","","","17-92","Aug 19, 2017"
"Discraft","Challenger SS","175.1","21.1","2.0","1.4","19.1","1.0","6.6","61.00","8.62","","","","17-93","Aug 19, 2017"
"Arsenal Discs","50 Cal","175.1","21.1","1.6","1.2","17.2","2.0","5.7","31.75","9.30","","","","17-83","Jul 13, 2017"
"Arsenal Discs","Air Strike","174.3","21.0","1.5","1.2","16.3","2.3","5.7","26.25","7.03","","","","17-84","Jul 13, 2017"
"Arsenal Discs","C4","175.1","21.1","1.9","1.3","19.1","1.0","6.2","50.00","8.65","","","","17-85","Jul 13, 2017"
"Arsenal Discs","Cyborg","174.3","21.0","1.6","1.2","17.4","1.8","5.7","30.75","8.85","","","","17-86","Jul 13, 2017"
"Arsenal Discs","Morningstar","180.1","21.7","1.9","1.3","19.1","1.3","6.0","43.75","7.71","","","","17-87","Jul 13, 2017"
"Legacy Discs","Aftermath","176.0","21.2","1.7","1.1","16.3","2.5","5.2","29.00","9.19","","","","17-80","Jun 26, 2017"
"Innova-Champion Discs","Rat","176.0","21.2","1.7","1.4","18.9","1.1","6.6","66.65","6.01","","","","17-77","Jun 26, 2017"
"Legacy Discs","Recon","176.0","21.2","1.7","1.1","16.4","2.4","5.2","28.75","8.05","","","","17-81","Jun 26, 2017"
"Full Turn Discs","Cruise","175.1","21.1","1.6","1.1","16.4","2.3","5.2","26.50","8.85","","","","17-82","Jun 26, 2017"
"Millennium Golf Discs","Taurus","180.1","21.7","2.0","1.5","19.0","1.4","6.9","66.75","9.07","","","","17-78","Jun 26, 2017"
"MVP Disc Sports","Particle","175.1","21.1","2.0","1.4","18.8","1.1","6.6","61.25","8.28","","","","17-71","Jun 11, 2017"
"Daredevil Discs","Gray Jay","174.3","21.0","1.4","1.1","16.3","2.3","5.2","28.50","4.85","","","","17-73","Jun 11, 2017"
"Prodigy Disc","X3","175.1","21.1","1.7","1.1","16.6","2.2","5.2","30.50","8.73","","","","17-72","Jun 11, 2017"
"Daredevil Discs","Pteranodon","179.3","21.6","2.3","1.2","18.8","1.4","5.6","44.50","8.39","","","","17-74","Jun 11, 2017"
"Discraft","Punisher","175.1","21.1","1.5","1.1","16.7","2.2","5.2","28.25","11.68","","","","17-69","Apr 21, 2017"
"Gateway Disc Sports","Diablo","176.0","21.2","1.7","1.2","17.1","2.0","5.7","32.50","9.30","","","","17-57","Apr 21, 2017"
"Discraft","Ringer GT","175.1","21.1","1.7","1.1","19.0","1.0","5.2","63.25","4.65","","","","17-70","Apr 21, 2017"
"Vibram Disc Golf","Crag","177.6","21.4","2.0","1.4","18.6","1.4","6.5","31.75","4.65","","","","17-59","Apr 21, 2017"
"Prodigy Disc","X4","176.0","21.2","1.7","1.1","16.6","2.3","5.2","27.00","9.30","","","","17-63","Apr 21, 2017"
"Gateway Disc Sports","Siren","175.1","21.1","1.8","1.2","16.4","2.3","5.7","29.25","11.57","","","","17-62","Apr 21, 2017"
"Prodigy Disc","X6","175.1","21.1","1.8","1.1","16.6","2.2","5.2","26.25","8.39","","","","17-64","Apr 21, 2017"
"Gateway Disc Sports","Journey - LS","176.0","21.2","1.9","1.1","16.9","2.2","5.2","28.25","9.75","","","","17-61","Apr 21, 2017"
"Vibram Disc Golf","Launch","177.6","21.4","2.1","1.3","18.8","1.3","6.1","51.25","4.76","","","","17-60","Apr 21, 2017"
"Discmania","TDx (Turn Driver)","175.1","21.1","1.5","1.2","17.2","2.0","5.7","30.50","11.45","","","","17-56","Apr 21, 2017"
"Discmania","MD4 (Midrange Driver)","180.1","21.7","1.6","1.4","18.9","1.4","6.5","51.25","11.11","","","","17-55","Apr 21, 2017"
"Gateway Disc Sports","Ninja","176.0","21.2","1.9","1.2","17.2","2.0","5.7","31.75","8.73","","","","17-58","Apr 21, 2017"
"Latitude 64","River Pro","177.6","21.4","1.8","1.3","17.8","1.8","6.1","34.00","10.87","","","","17-47","Apr 13, 2017"
"Kastaplast AB","Falk","175.1","21.1","1.8","1.1","17.2","1.9","5.2","30.25","9.53","","","","17-54","Apr 13, 2017"
"Axiom Discs","Mayhem","176.0","21.2","1.9","1.2","16.3","2.4","5.7","27.50","12.13","","","","17-48","Apr 13, 2017"
"MVP Disc Sports","Relativity","175.1","21.1","1.9","1.2","16.0","2.5","5.7","27.25","11.77","","","","17-52","Apr 13, 2017"
"Axiom Discs","Tenacity","175.1","21.1","1.9","1.2","16.3","2.4","5.7","26.75","11.57","","","","17-49","Apr 13, 2017"
"MVP Disc Sports","Dimension","174.3","21.0","1.8","1.2","16.0","2.5","5.7","27.75","11.68","","","","17-50","Apr 13, 2017"
"MVP Disc Sports","Limit","175.1","21.1","1.8","1.2","16.0","2.5","5.7","27.25","11.91","","","","17-51","Apr 13, 2017"
"MVP Disc Sports","Teleport","175.1","21.1","1.9","1.2","16.0","2.5","5.7","27.75","11.11","","","","17-53","Apr 13, 2017"
"Axiom Discs","Panic","175.1","21.1","1.7","1.2","16.3","2.4","5.7","26.25","12.25","","","","17-45","Apr 3, 2017"
"Latitude 64","Sarek","176.0","21.2","2.2","1.5","19.0","1.1","7.1","61.00","8.39","","","","17-42","Apr 3, 2017"
"Prodigy Disc","X2","175.1","21.1","1.8","1.1","16.6","2.2","5.2","26.00","8.16","","","","17-38","Apr 3, 2017"
"Latitude 64","Bryce","176.0","21.2","1.7","1.1","17.2","2.0","5.2","28.25","10.66","","","","17-40","Apr 3, 2017"
"Daredevil Discs","Merlin","174.3","21.0","1.7","1.1","16.4","2.3","5.2","26.00","7.03","","","","17-44","Apr 3, 2017"
"Prodigy Disc","X5","175.1","21.1","1.9","1.1","16.6","2.2","5.2","28.25","7.94","","","","17-39","Apr 3, 2017"
"Latitude 64","Gobi","180.1","21.7","1.8","1.3","18.8","1.4","6.0","37.50","10.43","","","","17-41","Apr 3, 2017"
"Above Ground Level","Cypress","176.0","21.2","1.5","1.1","16.7","2.2","5.2","26.75","7.03","","","","17-37","Apr 3, 2017"
"Daredevil Discs","Albatross","174.3","21.0","1.6","1.1","16.4","2.3","5.2","26.50","8.39","","","","17-43","Apr 3, 2017"
"Innova-Champion Discs","Firestorm","175.1","21.1","1.5","1.1","16.5","2.3","5.2","27.50","10.77","","","","17-33","Mar 23, 2017"
"Westside Golf Discs","Ahti","176.0","21.2","1.7","1.1","17.2","2.0","5.2","28.75","9.98","","","","17-34","Mar 23, 2017"
"Westside Golf Discs","Pine (Hornan Honka1)","180.1","21.7","1.9","1.3","18.7","1.5","6.0","39.75","8.28","","","","17-36","Mar 23, 2017"
"Westside Golf Discs","Fortress (Linnoitus1)","176.0","21.2","1.5","1.1","17.2","2.0","5.2","28.00","9.64","","","","17-35","Mar 23, 2017"
"Millennium Golf Discs","Sabot","175.1","21.1","1.7","1.2","16.7","2.2","5.7","36.50","10.89","","","","17-32","Mar 23, 2017"
"Discraft","Machete","175.1","21.1","1.6","1.1","16.8","2.1","5.2","30.50","12.13","","","","17-30","Mar 15, 2017"
"Guru Disc Golf","Sleipner","176.0","21.2","1.5","1.1","17.0","2.1","5.2","28.75","11.11","","","","17-29","Mar 15, 2017"
"Best Disc Golf Discs","MaxGlide","175.1","21.1","1.6","1.1","16.6","2.3","5.2","29.25","11.00","","","","17-31","Mar 15, 2017"
"Disc Golf Association (DGA)","Quake","179.3","21.6","1.7","1.2","18.6","1.5","5.6","40.00","12.25","","","","17-23","Mar 8, 2017"
"Viking Discs (IP-Agency Finland Oy)","Ragnarok","176.0","21.2","2.1","1.1","16.9","2.1","5.2","27.75","9.53","","","","17-26","Mar 8, 2017"
"Latitude 64","Beetle","181.8","21.9","2.2","1.6","20.3","0.8","7.3","89.25","3.06","","","","17-24","Mar 8, 2017"
"Full Turn Discs","Drifter","175.1","21.1","1.7","1.2","17.3","1.9","5.7","27.00","9.19","","","","17-21","Mar 8, 2017"
"Innova-Champion Discs","Wombat3","180.9","21.8","2.0","1.4","18.9","1.4","6.4","30.00","7.26","","","","17-20","Mar 8, 2017"
"Streamline Discs","Trace","176.0","21.2","1.7","1.2","16.8","2.2","5.7","31.25","9.98","","","","17-19","Mar 8, 2017"
"Discmania","CD3 (Control Driver)","175.1","21.1","2.0","1.2","16.9","2.1","5.7","31.00","11.24","","","","17-25","Mar 8, 2017"
"Galaxy Disc Golf","Meteorite","175.1","21.1","1.8","1.1","16.8","2.1","5.2","26.00","8.62","","","","17-22","Mar 8, 2017"
"Innova-Champion Discs","RocX3","180.9","21.8","2.0","1.4","19.0","1.4","6.4","49.75","9.07","","","","17-17","Feb 22, 2017"
"Westside Golf Discs","Crown (Kruunu1)","176.0","21.2","2.0","1.4","19.2","1.0","6.6","54.00","12.02","","","","17-18","Feb 22, 2017"
"Streamline Discs","Pilot","176.0","21.2","1.9","1.5","18.2","1.0","7.1","64.00","11.11","","","","17-16","Feb 22, 2017"
"Dynamic Discs","Deputy","176.0","21.2","2.0","1.5","19.1","1.1","7.1","61.00","6.92","","","","17-15","Feb 22, 2017"
"Innova-Champion Discs","Aviar 3","176.0","21.2","1.9","1.5","19.2","1.0","7.1","55.75","9.53","","","","17-14","Feb 8, 2017"
"Galaxy Disc Golf","Orbit","176.0","21.2","2.1","1.3","19.2","1.0","6.1","60.00","8.62","","","","17-09","Jan 28, 2017"
"Galaxy Disc Golf","Satellite","176.8","21.3","2.1","1.7","19.7","0.8","8.0","95.25","6.80","","","","17-10","Jan 28, 2017"
"Galaxy Disc Golf","Shooting Star","174.3","21.0","1.8","1.2","17.4","1.8","5.7","26.25","6.69","","","","17-11","Jan 28, 2017"
"Dynamic Discs","Slammer","176.0","21.2","1.8","1.4","19.2","1.0","6.6","53.50","8.39","","","","17-12","Jan 28, 2017"
"Galaxy Disc Golf","Magneton","175.1","21.1","1.9","1.5","19.1","1.0","7.1","59.25","8.28","","","","17-08","Jan 28, 2017"
"MINT Discs","Alpha","175.1","21.1","2.1","1.2","17.1","2.0","5.7","30.50","8.39","","","","17-13","Jan 28, 2017"
"Innova-Champion Discs","Manta","180.9","21.8","1.9","1.2","19.0","1.4","5.5","37.25","9.98","","","","17-07","Jan 24, 2017"
"Viking Discs (IP-Agency Finland Oy)","Nordic Warrior","178.5","21.5","2.0","1.4","18.7","1.4","6.5","36.00","12.25","","","","17-04","Jan 17, 2017"
"Viking Discs (IP-Agency Finland Oy)","Rune","176.0","21.2","2.1","1.6","19.0","1.1","7.5","55.50","9.07","","","","17-02","Jan 17, 2017"
"Viking Discs (IP-Agency Finland Oy)","Thunder God Thor","174.3","21.0","1.7","1.2","16.0","2.5","5.7","28.00","12.02","","","","17-03","Jan 17, 2017"
"Viking Discs (IP-Agency Finland Oy)","Berserker","176.0","21.2","1.7","1.2","17.0","2.1","5.7","28.75","9.53","","","","17-01","Jan 17, 2017"
"Dynamic Discs","Criminal","176.0","21.2","1.5","1.2","16.9","2.1","5.7","29.00","12.25","","","","17-05","Jan 17, 2017"
"Gateway Disc Sports","Voodoo (revised)","176.0","21.2","2.1","1.6","19.2","1.0","7.5","62.00","9.41","","","","16-90","Dec 30, 2016"
"Gateway Disc Sports","Wizard (revised)","176.0","21.2","2.1","1.8","19.2","1.0","8.5","59.25","9.87","","","","16-91","Dec 30, 2016"
"Dynamic Discs","Sheriff","175.1","21.1","1.6","1.1","16.3","2.4","5.2","30.25","11.79","","","","16-84","Dec 29, 2016"
"RPM Discs/Disc Golf Aotearoa","Ruru (PA2)","174.3","21.0","2.3","1.6","18.9","1.0","7.6","72.75","8.28","","","","16-85","Dec 29, 2016"
"Viking Discs (IP-Agency Finland Oy)","Axe","176.0","21.2","2.0","1.3","19.2","1.0","6.1","57.00","8.16","","","","16-86","Dec 29, 2016"
"Viking Discs (IP-Agency Finland Oy)","Cosmos","174.3","21.0","1.6","1.1","17.4","1.8","5.2","28.50","9.41","","","","16-87","Dec 29, 2016"
"Viking Discs (IP-Agency Finland Oy)","Knife","175.1","21.1","1.9","1.8","19.1","1.0","8.5","58.75","10.32","","","","16-88","Dec 29, 2016"
"Prodiscus","FASTi","175.1","21.1","1.6","1.1","17.1","2.3","5.2","26.75","10.66","","","","16-81","Dec 19, 2016"
"Prodiscus","FLIPPERi","176.0","21.2","1.7","1.2","17.2","2.0","5.7","26.00","10.77","","","","16-82","Dec 19, 2016"
"Latitude 64","Anchor","180.1","21.7","1.8","1.5","18.9","1.4","6.9","43.25","10.32","","","","16-75","Dec 7, 2016"
"Latitude 64","Caltrop","174.3","21.0","1.9","1.5","19.1","1.0","7.1","64.00","10.66","","","","16-75","Dec 7, 2016"
"Latitude 64","Gladiator","175.1","21.1","1.7","1.1","16.5","2.3","5.2","28.50","12.02","","","","16-76","Dec 7, 2016"
"Discraft","Archer","178.5","21.5","1.8","1.1","18.5","1.5","5.1","36.00","7.94","","","","16-78","Dec 7, 2016"
"Innova-Champion Discs","Shryke","175.1","21.1","1.7","1.2","16.4","2.3","5.7","26.00","10.32","","","","16-71","Nov 14, 2016"
"Disc King","Lex","178.5","21.5","2.1","1.6","19.5","1.0","7.4","75.25","12.25","","","","16-72","Nov 10, 2016"
"Ozone Discs","Andro C (retooled)","179.3","21.6","1.5","1.3","18.6","1.5","6.0","31.25","3.40","","","","16-73","Nov 10, 2016"
"Element Discs","Radium","181.8","21.9","2.0","1.1","18.9","1.5","5.3","43.25","10.21","","","","16-70","Oct 21, 2016"
"Element Discs","Chromium","175.1","21.1","2.0","1.2","17.2","2.0","5.7","31.25","9.75","","","","16-69","Oct 21, 2016"
"Prodiscus","STARi","179.3","21.6","1.9","1.4","18.9","1.3","6.5","45.00","7.03","","","","16-68","Sep 23, 2016"
"Obsidian Discs Oy","Cinder","176.0","21.2","2.2","1.3","17.5","1.9","6.1","30.25","9.64","","","","16-67","Sep 23, 2016"
"Westside Golf Discs","Queen (Pohjolan Emäntä1)","176.0","21.2","1.5","1.1","16.6","2.3","5.2","29.50","9.19","","","","16-66","Sep 14, 2016"
"Daredevil Discs","Bighorn","176.0","21.2","2.2","1.6","19.2","1.5","7.5","67.75","8.62","","","","16-89","Aug 25, 2016"
"Element Discs","Uranium","176.0","21.2","1.5","1.4","18.7","1.3","6.6","49.50","7.71","","","","16-65","Aug 13, 2016"
"Full Turn Discs","Navigator","179.3","21.6","1.7","1.5","18.9","1.4","6.9","40.50","6.80","","","","16.63","Aug 13, 2016"
"Full Turn Discs","Passport","176.0","21.2","2.1","1.6","19.2","1.0","7.5","64.00","8.16","","","","16.64","Aug 13, 2016"
"Discraft","Thrasher","175.1","21.1","1.7","1.1","16.8","2.1","5.2","26.75","8.85","","","","16-62","Aug 13, 2016"
"Innova-Champion Discs","Gargoyle","176.0","21.2","2.0","1.2","18.4","1.4","5.7","43.50","9.07","","","","16-61","Jul 21, 2016"
"Disc Golf Association (DGA)","Pipeline","177.6","21.4","1.5","1.1","17.8","1.8","5.1","31.00","10.21","","","","16-60","Jun 30, 2016"
"Element Discs","Lithium","181.8","21.9","1.5","1.3","18.9","1.5","5.9","51.75","10.43","","","","16-59","Jun 30, 2016"
"Discmania","P3x (Putt & Approach)","176.0","21.2","1.9","1.6","19.0","1.1","7.5","62.00","7.37","","","","17-79","Jun 26, 2016"
"Reptilian Disc Golf","Tyrant","176.0","21.2","1.4","1.1","17.6","1.8","5.2","28.00","8.62","","","","16-57","Jun 16, 2016"
"MVP Disc Sports","Catalyst","175.1","21.1","1.9","1.2","16.3","2.4","5.7","30.00","11.11","","","","16-55","Jun 6, 2016"
"Legacy Discs","Fighter","176.0","21.2","1.7","1.2","17.1","2.0","5.7","27.75","11.34","","","","16-53","Jun 6, 2016"
"MVP Disc Sports","Energy","175.1","21.1","2.1","1.2","16.3","2.4","5.7","26.00","11.91","","","","16-56","Jun 6, 2016"
"Ozone Discs","Andro C","177.6","21.4","1.5","1.3","18.4","1.5","6.1","31.25","7.26","","","","16-54","Jun 6, 2016"
"Dynamic Discs","Gavel","176.8","21.3","1.9","1.4","19.5","1.4","6.6","45.75","9.19","","","","16-50","May 26, 2016"
"Dynamic Discs","Aviator","200.0","27.5","3.2","2.1","26.0","0.8","7.6","89.75","8.85","Super Class","","","16-49","May 26, 2016"
"Dynamic Discs","Proof","178.5","21.5","1.5","1.1","19.0","1.3","5.1","39.50","9.40","","","","16-51","May 26, 2016"
"MVP Disc Sports","Nitro","176.0","21.2","1.9","1.2","16.3","2.4","5.7","26.75","11.57","","","","16-47","May 13, 2016"
"MVP Disc Sports","Octane","175.1","21.1","1.7","1.2","16.3","2.4","5.7","27.25","11.87","","","","16-48","May 13, 2016"
"Prodigy Disc","D6","174.3","21.0","1.6","1.2","16.2","2.4","5.7","26.75","9.41","","","","16-46","May 13, 2016"
"Obsidian Discs Oy","Caldera","176.0","21.2","1.7","1.2","16.7","2.3","5.7","26.00","8.62","","","","16-45","May 10, 2016"
"Prodigy Disc","A4","174.3","21.0","2.0","1.3","18.2","1.4","6.2","61.75","9.64","","","","16-43","May 10, 2016"
"MVP Disc Sports","Matrix","178.5","21.5","1.6","1.4","18.7","1.4","6.5","46.50","9.75","","","","16-44","May 10, 2016"
"Daredevil Discs","Walrus","180.9","21.8","1.9","1.2","19.3","1.3","5.5","48.75","1.81","","","","16-35","Apr 21, 2016"
"Daredevil Discs","Great Horned Owl","176.0","21.2","2.2","1.4","19.2","1.0","6.6","62.25","7.14","","","","16-34","Apr 21, 2016"
"Axiom Discs","Thrill","175.1","21.1","1.5","1.1","16.7","2.2","5.2","26.00","9.53","","","","16-37","Apr 21, 2016"
"Axiom Discs","Defy","175.1","21.1","1.5","1.1","16.7","2.2","5.2","26.00","9.30","","","","16-36","Apr 21, 2016"
"Full Turn Discs","Traveler","175.1","21.1","1.7","1.2","17.3","1.9","5.7","28.75","9.53","","","","16-38","Apr 21, 2016"
"Innova-Champion Discs","Big Kahuna","200.0","27.5","3.3","2.0","26.0","0.8","7.3","93.50","6.80","Super Class & Vintage Class","184.3","","16-39","Apr 21, 2016"
"Innova-Champion Discs","Makani","200.0","24.2","2.7","1.7","22.8","0.7","7.0","83.00","5.90","Super Class & Vintage Class","162.1","","16-40","Apr 21, 2016"
"Discraft","Undertaker","175.1","21.1","1.8","1.1","17.5","1.9","5.2","30.75","10.43","","","","16-31","Apr 6, 2016"
"Kastaplast AB","Grym X","176.0","21.2","1.6","1.1","16.9","2.2","5.2","26.00","10.21","","","","16-26","Apr 6, 2016"
"Plastic Addicts","Habit","183.4","22.1","2.1","1.6","20.1","1.0","7.2","63.25","4.76","","","","16-27","Apr 6, 2016"
"Plastic Addicts","Intervention","176.0","21.2","1.3","1.1","16.7","2.3","5.2","30.50","7.03","","","","16-28","Apr 6, 2016"
"Reptilian Disc Golf","Stego","176.8","21.3","1.8","1.2","19.3","1.0","5.6","74.00","9.19","","","","16-29","Apr 6, 2016"
"Axiom Discs","Vanish","175.1","21.1","1.5","1.1","16.6","2.2","5.2","27.75","8.98","","","","16-30","Apr 6, 2016"
"Dynamic Discs","EMAC Truth","180.1","21.7","1.8","1.2","18.7","1.5","5.5","42.25","9.30","","","","16-25","Mar 21, 2016"
"Innova-Champion Discs","Mirage","176.0","21.2","1.9","1.2","19.0","1.1","5.7","50.25","6.35","","","","16-24","Mar 2, 2016"
"Dynamic Discs","Marshal","176.0","21.2","2.0","1.6","19.1","1.1","7.5","67.00","11.57","","","","16-23","Mar 2, 2016"
"Dynamic Discs","Defender","174.3","21.0","1.6","1.1","16.4","2.3","5.2","30.75","11.11","","","","16-22","Mar 2, 2016"
"Disc Golf Association (DGA)","Sail","174.3","21.0","1.9","1.1","17.2","1.9","5.2","29.75","9.75","","","","16-16","Feb 25, 2016"
"Latitude 64","Falchion","175.1","21.1","1.6","1.1","17.3","1.9","5.2","34.50","11.00","","","","16-13","Feb 25, 2016"
"Discmania","DDx (Distance Driver)","175.1","21.1","1.7","1.1","16.5","2.3","5.2","28.75","11.34","","","","16-21","Feb 25, 2016"
"Westside Golf Discs","Longbowman (Jousimies1)","176.8","21.3","1.6","1.1","17.7","1.8","5.2","36.00","10.77","","","","16-19","Feb 25, 2016"
"Westside Golf Discs","Catapult (Katapultt1)","175.1","21.1","1.6","1.1","16.6","2.3","5.2","27.00","10.87","","","","16-17","Feb 25, 2016"
"Westside Golf Discs","Destiny (Kohtalo1)","176.0","21.2","1.6","1.1","16.6","2.3","5.2","28.50","10.66","","","","16-18","Feb 25, 2016"
"Latitude 64","Knight","175.1","21.1","1.6","1.1","16.2","2.5","5.2","28.25","10.89","","","","16-14","Feb 25, 2016"
"Westside Golf Discs","Sling (Linko1)","180.9","21.8","1.8","1.2","19.3","1.3","5.5","41.00","8.39","","","","16-20","Feb 25, 2016"
"Element Discs","Plutonium","174.3","21.0","2.0","1.5","19.0","1.0","7.1","77.75","7.00","","","","16-15","Feb 25, 2016"
"Guru Disc Golf","Midgard","175.1","21.1","1.7","1.1","17.5","1.8","5.2","32.50","11.45","","","","16-10","Feb 4, 2016"
"Guru Disc Golf","Mjølner","176.0","21.2","2.0","1.5","19.2","1.0","7.1","47.25","9.53","","","","16-11","Feb 4, 2016"
"Guru Disc Golf","Thor","180.1","21.7","2.1","1.3","19.1","1.3","6.0","40.25","9.53","","","","16-12","Feb 4, 2016"
"Millennium Golf Discs","Aquarius","174.3","21.0","1.9","1.2","17.0","2.0","5.7","30.00","10.66","","","","16-09","Feb 2, 2016"
"MVP Disc Sports","Signal","175.1","21.1","1.5","1.2","17.7","1.2","5.7","35.50","11.11","","","","16-08","Feb 2, 2016"
"Innova-Champion Discs","Stud","176.0","21.2","1.9","1.3","18.9","1.1","6.1","69.50","11.11","","","","16-07","Jan 20, 2016"
"MVP Disc Sports","Spin","174.3","21.0","1.9","1.5","18.8","1.1","7.1","60.75","7.37","","","","16-06","Jan 20, 2016"
